timestamp,distance_cm,altitude_angle_deg,azimuth_angle_deg,scan_repeat
1760412806.091818,52.0,91,0,0
1760412806.132518,51.8,92,0,0
1760412806.1729093,52.0,93,0,0
1760412806.2125971,52.0,94,0,0
1760412806.253006,52.0,95,0,0
1760412806.2935345,52.0,96,0,0
1760412806.334044,52.0,97,0,0
1760412806.3746634,50.2,98,0,0
1760412806.4153605,100.4,99,0,0
1760412806.4566352,24.8,100,0,0
1760412806.497305,10.6,101,0,0
1760412806.5381825,9.0,102,0,0
1760412806.5782247,6.0,103,0,0
1760412806.618473,6.0,104,0,0
1760412806.6591043,6.6,105,0,0
1760412806.700005,10.6,106,0,0
1760412806.7402458,10.4,107,0,0
1760412806.7803557,10.0,108,0,0
1760412806.8208406,10.0,109,0,0
1760412806.8617485,10.0,110,0,0
1760412806.9026752,10.0,111,0,0
1760412806.9433045,10.0,112,0,0
1760412806.9842257,10.0,113,0,0
1760412807.0249567,10.0,114,0,0
1760412807.0658512,10.0,115,0,0
1760412807.1067548,10.0,116,0,0
1760412807.1476288,10.0,117,0,0
1760412807.1883183,10.2,118,0,0
1760412807.2290232,11.0,119,0,0
1760412807.2698476,11.0,120,0,0
1760412807.3107502,11.2,121,0,0
1760412807.3516202,12.0,122,0,0
1760412807.3925378,13.6,123,0,0
1760412807.4333847,15.2,124,0,0
1760412807.474417,16.0,125,0,0
1760412807.5152743,16.0,126,0,0
1760412807.5560315,16.2,127,0,0
1760412807.5977788,16.0,128,0,0
1760412807.638204,15.4,129,0,0
1760412807.6792157,15.0,130,0,0
1760412807.7192895,15.0,131,0,0
1760412807.7597694,15.0,132,0,0
1760412807.8002827,14.6,133,0,0
1760412807.8409255,14.0,134,0,0
1760412807.8844361,14.0,135,0,0
1760412807.9269834,13.0,136,0,0
1760412807.9693036,13.0,137,0,0
1760412808.011789,13.0,138,0,0
1760412808.0543988,13.0,139,0,0
1760412808.097601,12.6,140,0,0
1760412808.1405182,12.4,141,0,0
1760412808.183146,12.0,142,0,0
1760412808.2261188,12.0,143,0,0
1760412808.26848,12.0,144,0,0
1760412808.3112774,12.0,145,1,0
1760412808.354124,12.0,144,1,0
1760412808.3967788,12.0,143,1,0
1760412808.4392812,12.0,142,1,0
1760412808.481344,12.0,141,1,0
1760412808.5236957,12.0,140,1,0
1760412808.5657675,12.0,139,1,0
1760412808.6086297,12.0,138,1,0
1760412808.651232,12.8,137,1,0
1760412808.693577,12.2,136,1,0
1760412808.735287,12.6,135,1,0
1760412808.777185,12.4,134,1,0
1760412808.8189197,12.0,133,1,0
1760412808.8609982,12.0,132,1,0
1760412808.9024649,12.0,131,1,0
1760412808.9437895,12.0,130,1,0
1760412808.9863403,13.0,129,1,0
1760412809.029017,12.6,128,1,0
1760412809.0709243,12.2,127,1,0
1760412809.1128752,12.0,126,1,0
